user_type,authenticated,effective_roles,effective_modules,feature_id,platform,platform_treatment,discover,view,create,edit,delete,archive,deactivate,import,export,submit,validate,approve,reject,assign,publish,report,administer
visitor,false,,,public.platform,web,available,allowed,allowed,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported
visitor,false,,,public.platform,mobile,web-fallback,allowed,allowed,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported
visitor,false,,,home,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,home,mobile,native,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,community,web,available,allowed,allowed,allowed,allowed,allowed,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported
visitor,false,,,community,mobile,native,allowed,allowed,allowed,allowed,allowed,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported
visitor,false,,,community.club,web,available,allowed,allowed,allowed,allowed,allowed,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported
visitor,false,,,community.club,mobile,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available
visitor,false,,,community.member,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,community.member,mobile,web-fallback,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,artist.public,web,available,allowed,allowed,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported
visitor,false,,,artist.public,mobile,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available
visitor,false,,,artist.onboarding,web,available,allowed,allowed,concealed,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported
visitor,false,,,artist.onboarding,mobile,native,allowed,allowed,concealed,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported
visitor,false,,,marketplace,web,available,allowed,allowed,allowed,allowed,allowed,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported
visitor,false,,,marketplace,mobile,web-fallback,allowed,allowed,allowed,allowed,allowed,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported
visitor,false,,,marketplace.order-tracking,web,available,allowed,allowed,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported
visitor,false,,,marketplace.order-tracking,mobile,web-fallback,allowed,allowed,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported
visitor,false,,,service.mixing-mastering,web,available,allowed,allowed,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported
visitor,false,,,service.mixing-mastering,mobile,web-fallback,allowed,allowed,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported
visitor,false,,,bookings.public,web,available,allowed,allowed,allowed,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported
visitor,false,,,bookings.public,mobile,native,allowed,allowed,allowed,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported
visitor,false,,,bookings.dj-booth,web,available,allowed,allowed,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported
visitor,false,,,bookings.dj-booth,mobile,native,allowed,allowed,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported
visitor,false,,,public.trials,web,available,allowed,allowed,allowed,allowed,allowed,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported
visitor,false,,,public.trials,mobile,web-fallback,allowed,allowed,allowed,allowed,allowed,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported
visitor,false,,,public.live-session-registration,web,available,allowed,allowed,allowed,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported
visitor,false,,,public.live-session-registration,mobile,web-fallback,allowed,allowed,allowed,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported
visitor,false,,,public.records,web,available,allowed,allowed,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported
visitor,false,,,public.records,mobile,web-fallback,allowed,allowed,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported
visitor,false,,,public.donations,web,available,allowed,allowed,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported
visitor,false,,,public.donations,mobile,web-fallback,allowed,allowed,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported
visitor,false,,,public.domo,web,available,allowed,allowed,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported
visitor,false,,,public.domo,mobile,web-fallback,allowed,allowed,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported,not-supported
visitor,false,,,profile.detail,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,profile.detail,mobile,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available
visitor,false,,,social,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,social,mobile,native,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,social.instagram,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,social.instagram,mobile,web-fallback,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,social.vcard,web,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available
visitor,false,,,social.vcard,mobile,native,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,social.inbox,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,social.inbox,mobile,web-fallback,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,social.events,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,social.events,mobile,native,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,social.events.create,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,social.events.create,mobile,native,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,social.event.detail,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,social.event.detail,mobile,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available
visitor,false,,,social.event.logistics,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,social.event.logistics,mobile,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available
visitor,false,,,social.discovery,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
