feature_id,parent_feature,classification,route_type,web_route,mobile_kind,mobile_destination,mobile_exception,label_es,label_en,synonyms_es,synonyms_en,keywords,navigation_group,breadcrumb,authentication,roles,modules,actions,route_action,record_scope,maturity,feature_flag,global_menu,quick_create,favorite_eligible,pin_eligible,recent_behavior,telemetry_id,access_request_eligible,interface_expected,technical,searchable
public.platform,,primary-destination,primary,/tdf,external-web,https://tdf-app.pages.dev/tdf,,TDF,TDF,inicio público|plataforma,public home|platform,tdf|records|studio,people,,public,,,discover|view,view,none,stable,,false,,false,false,none,public.platform,false,true,false,true
public.commerce,public.platform,primary-destination,primary,/comercio,external-web,https://tdf-app.pages.dev/comercio,,Servicios TDF,TDF Services,comercio|tienda|servicios,commerce|store|services,commerce|checkout|services,people,public.platform,public,,,discover|view,view,none,stable,,false,,false,false,none,public.commerce,false,true,false,true
public.distribution,public.commerce,primary-destination,primary,/distribucion,external-web,https://tdf-app.pages.dev/distribucion,Protected release management remains authenticated.,Distribución musical,Music distribution,distribuir música|ddex,distribute music|ddex,distribution|ddex|release,label,public.platform > public.commerce,public,,,discover|view,view,none,pilot,distribution.public_storefront,false,,false,false,none,public.distribution,false,true,false,true
home,,primary-destination,primary,/inicio,external-web,https://tdf-app.pages.dev/inicio,The pinned native client does not yet include the directory landing route; use the public responsive web home.,Inicio,Home,panel|dashboard,dashboard|start,home|overview,create,,public,,,discover|view,view,none,stable,,true,,true,true,feature,home,true,true,false,true
directory.search,,primary-destination,primary,/buscar,native,/(tabs)/directory,,Directorio musical,Music directory,buscar músicos|clasificados|oportunidades,find musicians|classifieds|opportunities,directory|search|profiles|classifieds|events|venues,people,,public,,,discover|view,view,public-published-current-moderated,stable,,true,,true,true,feature,directory.search,false,true,false,true
directory.profile.public,directory.search,record-detail-contextual-action,contextual,/directorio/:slug,native-contextual,/directory/profile/[slug],,Perfil profesional,Professional profile,perfil público,public profile,profile|profession|portfolio,people,directory.search,public,,,discover|view,view,none,stable,,false,,false,false,record,directory.profile.public,false,true,false,true
directory.classified.public,directory.search,record-detail-contextual-action,contextual,/clasificados/:slug,native-contextual,/directory/classified/[slug],,Clasificado musical,Music classified,anuncio|convocatoria,ad|call,classified|opportunity|job,people,directory.search,public,,,discover|view,view,none,stable,,false,,false,false,record,directory.classified.public,false,true,false,true
directory.event.public,directory.search,record-detail-contextual-action,contextual,/eventos/:eventId,native-contextual,/directory/event/[id],,Evento público,Public event,concierto|fecha,concert|show,event|concert|public,people,directory.search,public,,,discover|view,view,none,stable,,false,,false,false,record,directory.event.public,false,true,false,true
directory.venue.public,directory.search,record-detail-contextual-action,contextual,/venues/:venueId,native-contextual,/directory/venue/[id],,Venue público,Public venue,sala|escenario,place|stage,venue|location|public,people,directory.search,public,,,discover|view,view,none,stable,,false,,false,false,record,directory.venue.public,false,true,false,true
directory.classifieds.manage,directory.search,primary-destination,primary,/mis-clasificados,native,/directory/manage,,Mis perfiles y anuncios,My profiles and classifieds,publicar anuncio|mi directorio,post classified|my directory,manage|profile|classified|application,create,directory.search,authenticated,,,discover|view|create|edit|submit,view,explicit-manager,stable,,true,create,true,true,feature,directory.classifieds.manage,false,true,false,true
