method,path,authentication_boundary,mapped_feature_id,mapped_action,action_rule_present,interface_disposition,authorization_evidence,source_aliases,source
GET,/catalog/{catalogCode}/export.csv,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:102
POST,/catalog/{catalogCode}/import.csv,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:102
GET,/catalog/{catalogCode}/items,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:102
GET,/catalog/{catalogCode}/items/{itemId},authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:102
PATCH,/catalog/{catalogCode}/items/{itemId}/activation,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:102
POST,/catalog/{catalogCode}/merge,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:102
POST,/catalog/{catalogCode}/reorder,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:102
GET,/catalog/{catalogCode}/revisions,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:102
POST,/catalog/{catalogCode}/revisions,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:102
GET,/catalog/{catalogCode}/usage,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:102
