feature_id,classification,web_route,web_aliases,mobile_kind,mobile_destination,mobile_aliases,parent_feature,breadcrumb,global_discovery,discovery_mechanism,maximum_interactions,contextual_only,technical_hidden
public.platform,primary-destination,/tdf,/instagram|/ig|/sobre-tdf,external-web,https://tdf-app.pages.dev/tdf,,,,false,command-palette-or-mobile-explorer,2,false,false
public.commerce,primary-destination,/comercio,/commerce,external-web,https://tdf-app.pages.dev/comercio,,public.platform,public.platform,false,command-palette-or-mobile-explorer,2,false,false
public.distribution,primary-destination,/distribucion,/distribution,external-web,https://tdf-app.pages.dev/distribucion,,public.commerce,public.platform > public.commerce,false,command-palette-or-mobile-explorer,2,false,false
home,primary-destination,/inicio,/,external-web,https://tdf-app.pages.dev/inicio,,,,true,global-menu,1,false,false
directory.search,primary-destination,/buscar,,external-web,https://tdf-app.pages.dev/buscar,,,,true,global-menu,1,false,false
directory.profile.public,record-detail-contextual-action,/directorio/:slug,,external-web,,,directory.search,directory.search,false,command-palette-or-mobile-explorer,2,true,false
directory.classified.public,record-detail-contextual-action,/clasificados/:slug,,external-web,,,directory.search,directory.search,false,command-palette-or-mobile-explorer,2,true,false
directory.event.public,record-detail-contextual-action,/eventos/:eventId,,external-web,,,directory.search,directory.search,false,command-palette-or-mobile-explorer,2,true,false
directory.venue.public,record-detail-contextual-action,/venues/:venueId,,external-web,,,directory.search,directory.search,false,command-palette-or-mobile-explorer,2,true,false
directory.classifieds.manage,primary-destination,/mis-clasificados,,external-web,,,directory.search,directory.search,true,global-menu,1,false,false
directory.admin,primary-destination,/admin/directorio,,web-only,,,directory.search,directory.search,true,global-menu,1,false,false
community,primary-destination,/fans,,native,/(tabs)/social,,,,true,global-menu,1,false,false
community.club,record-detail-contextual-action,/fans/clubs/:artistId,,native-contextual,/artistDetail,,community,community,false,command-palette-or-mobile-explorer,2,true,false
community.member,record-detail-contextual-action,/fans/clubs/:artistId/members/:partyId,/fans/clubs/:artistId/members,web-only,,,community.club,community > community.club,false,command-palette-or-mobile-explorer,2,true,false
artist.public,record-detail-contextual-action,/artista/:slugOrId,/a/:slugOrId|/mi-artista,native-contextual,/artistDetail,,community,community,false,command-palette-or-mobile-explorer,2,true,false
artist.onboarding,important-submodule,/artista/crear,,native,/createArtistProfile,,artist.public,community,false,command-palette-or-mobile-explorer,2,false,false
marketplace,primary-destination,/marketplace,,external-web,https://tdf-app.pages.dev/marketplace,,,,true,global-menu,1,false,false
marketplace.order-tracking,record-detail-contextual-action,/marketplace/orden/:orderId,,external-web,,,marketplace,marketplace,false,command-palette-or-mobile-explorer,2,true,false
service.mixing-mastering,important-submodule,/mezcla-mastering,/services/mixing-mastering|/mezcla-mastering/pago-datafast|/mezcla-mastering/pedido/:orderNumber,external-web,,,marketplace,marketplace,false,command-palette-or-mobile-explorer,2,false,false
bookings.public,primary-destination,/reservar,,native,/(tabs)/bookings,,,,true,global-menu,1,false,false
bookings.public-order-tracking,record-detail-contextual-action,/reservas/orden/:bookingId,,external-web,,,bookings.public,bookings.public,false,command-palette-or-mobile-explorer,2,true,false
bookings.dj-booth,important-submodule,/dj-booth,/reservar/dj-booth,native,/(tabs)/bookings,,bookings.public,bookings.public,false,command-palette-or-mobile-explorer,2,false,false
public.trials,important-submodule,/trials,,external-web,,,,,true,global-menu,1,false,false
public.live-session-registration,important-submodule,/live-sessions/registro,,external-web,,,,,true,global-menu,1,false,false
public.records,primary-destination,/records,,external-web,,,,,true,global-menu,1,false,false
public.donations,primary-destination,/donar,,external-web,https://tdf-app.pages.dev/donar,,,,true,global-menu,1,false,false
public.domo,primary-destination,/domo-del-pululahua,/venues/domo-del-pululahua,external-web,https://tdf-app.pages.dev/domo-del-pululahua,,,,true,global-menu,1,false,false
public.domo-quote,record-detail-contextual-action,/domo-del-pululahua/cotizaciones/:quoteId,,web-only,,,public.domo,public.domo,false,command-palette-or-mobile-explorer,2,true,false
profile.detail,record-detail-contextual-action,/perfil/:partyId,,native-contextual,/userProfile,,community,community,false,command-palette-or-mobile-explorer,2,true,false
social,primary-destination,/social,,native,/(tabs)/social,,,,true,global-menu,1,false,false
social.instagram,important-submodule,/social/instagram,,web-only,,,social,social,true,global-menu,1,false,false
social.vcard,important-submodule,,,native,/(tabs)/vcard,,social,social,false,command-palette-or-mobile-explorer,2,false,false
social.inbox,primary-destination,/social/inbox,,web-only,,,social,social,true,global-menu,1,false,false
social.events,primary-destination,/social/eventos,,native,/(tabs)/events,,social,social,true,global-menu,1,false,false
social.events.create,record-detail-contextual-action,/social/eventos/nuevo,,native,/createEvent,,social.events,social > social.events,false,command-palette-or-mobile-explorer,2,true,false
social.event.detail,record-detail-contextual-action,/social/eventos/:eventId,,native-contextual,/eventDetail,,social.events,social > social.events,false,command-palette-or-mobile-explorer,2,true,false
social.event.logistics,record-detail-contextual-action,/social/eventos/:eventId/logistica,,native-contextual,/eventDetail,,social.event.detail,social > social.events > social.event.detail,false,command-palette-or-mobile-explorer,2,true,false
social.discovery,important-submodule,/social/eventos-descubiertos,,native,/(tabs)/events,,social.events,social > social.events,true,global-menu,1,false,false
chat,primary-destination,/chat,,web-only,,,social,social,true,global-menu,1,false,false
crm.contacts,primary-destination,/crm/contactos,/crm|/parties|/contactos,native,/(tabs)/parties,,,,true,global-menu,1,false,false
crm.companies,important-submodule,/crm/empresas,,native,/(tabs)/parties,,crm.contacts,crm.contacts,true,global-menu,1,false,false
crm.leads,important-submodule,/crm/leads,,web-only,,,crm.contacts,crm.contacts,true,global-menu,1,false,false
studio.calendar,primary-destination,/estudio/calendario,/estudio|/bookings,native,/(tabs)/bookings,,,,true,global-menu,1,false,false
studio.rooms,important-submodule,/estudio/salas,,native,/(tabs)/bookings,,studio.calendar,studio.calendar,true,global-menu,1,false,false
studio.orders,primary-destination,/estudio/ordenes,,web-only,,,studio.calendar,studio.calendar,true,global-menu,1,false,false
studio.services,important-submodule,/estudio/servicios,,web-only,,,studio.orders,studio.calendar,true,global-menu,1,false,false
studio.pipelines,primary-destination,/estudio/pipelines,/pipelines|/kanban,native,/(tabs)/pipelines,,studio.calendar,studio.calendar,true,global-menu,1,false,false
studio.live-sessions,important-submodule,/estudio/live-sessions,,web-only,,,studio.calendar,studio.calendar,true,global-menu,1,false,false
studio.domo-campaign,important-submodule,/estudio/campanas/tdf-sessions-domo,,web-only,,,studio.calendar,studio.calendar,true,global-menu,1,false,false
studio.reports,primary-destination,/estudio/reportes,,web-only,,,studio.calendar,studio.calendar,true,global-menu,1,false,false
school.teacher-portal,primary-destination,/mi-profesor,,web-only,,,,,true,global-menu,1,false,false
school.teachers,primary-destination,/escuela/profesores,/escuela,web-only,,,school.teacher-portal,school.teacher-portal,true,global-menu,1,false,false
school.classes,primary-destination,/escuela/clases,,web-only,,,school.teacher-portal,school.teacher-portal,true,global-menu,1,false,false
school.trial-lessons,important-submodule,/escuela/trial-lessons,,web-only,,,school.teacher-portal,school.teacher-portal,true,global-menu,1,false,false
school.trial-queue,important-submodule,/escuela/trial-queue,,web-only,,,school.trial-lessons,school.teacher-portal > school.trial-lessons,true,global-menu,1,false,false
internships,primary-destination,/practicas,/practicas/tareas/:taskId,web-only,,,,,true,global-menu,1,false,false
internships.studio-audit,important-submodule,/practicas/auditorias/:planId,,external-web,https://tdf-app.pages.dev/practicas/auditorias/:planId,,internships,internships,false,command-palette-or-mobile-explorer,2,false,false
label.artists,primary-destination,/label/artistas,/label,native,/(tabs)/events,,,,true,global-menu,1,false,false
label.projects,primary-destination,/label/proyectos,,web-only,,,label.artists,label.artists,true,global-menu,1,false,false
label.releases,primary-destination,/label/releases,,external-web,,,label.artists,label.artists,true,global-menu,1,false,false
label.assets,important-submodule,/label/assets,,web-only,,,label.releases,label.artists > label.releases,true,global-menu,1,false,false
label.tracks,important-submodule,/label/tracks,,web-only,,,label.releases,label.artists > label.releases,true,global-menu,1,false,false
label.ddex.inbox,primary-destination,/label/ddex,,native,/ddex,,,,true,global-menu,1,false,false
label.ddex.document,record-detail-contextual-action,/label/ddex/documents/:id,,native-contextual,/ddex/document/[id],,label.ddex.inbox,label.ddex.inbox,false,command-palette-or-mobile-explorer,2,true,false
label.ddex.import,record-detail-contextual-action,/label/ddex/documents/:id/import,,security-concealed,,,label.ddex.document,label.ddex.inbox > label.ddex.document,false,command-palette-or-mobile-explorer,2,true,false
label.ddex.partners,important-submodule,/label/ddex/partners,,native,/ddex/partners,,label.ddex.inbox,label.ddex.inbox,false,command-palette-or-mobile-explorer,2,false,false
operations.control-center,primary-destination,/dashboard/operations,/operacion/control,native,/operations,,,,true,global-menu,1,false,false
