surface,route-or-file,source,access-definition,devices,languages,required-states,evidence-status
registered-feature,/tdf,tdf-hq/assets/feature-registry.json,"{""auth"":""public"",""permissions"":{""discover"":{},""view"":{}},""scope"":""none"",""flag"":null,""mobile"":{""kind"":""external-web"",""destination"":""https://tdf-app.pages.dev/tdf"",""documentedException"":null}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,"Observed public arrival: Chromium production bundle, isolated actual backend/PostgreSQL17, es-EC,320/1280px; final84-case evidence/public-runtime-final.json: zero axe violations, horizontal overflow, page errors or HTTP5xx. Other roles/states/languages/native remain untested unless separately evidenced."
registered-feature,/comercio,tdf-hq/assets/feature-registry.json,"{""auth"":""public"",""permissions"":{""discover"":{},""view"":{}},""scope"":""none"",""flag"":null,""mobile"":{""kind"":""external-web"",""destination"":""https://tdf-app.pages.dev/comercio"",""documentedException"":null}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,"Observed public arrival: Chromium production bundle, isolated actual backend/PostgreSQL17, es-EC,320/1280px; final84-case evidence/public-runtime-final.json: zero axe violations, horizontal overflow, page errors or HTTP5xx. Other roles/states/languages/native remain untested unless separately evidenced."
registered-feature,/distribucion,tdf-hq/assets/feature-registry.json,"{""auth"":""public"",""permissions"":{""discover"":{},""view"":{}},""scope"":""none"",""flag"":""distribution.public_storefront"",""mobile"":{""kind"":""external-web"",""destination"":""https://tdf-app.pages.dev/distribucion"",""documentedException"":""Protected release management remains authenticated.""}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,"Observed public arrival: Chromium production bundle, isolated actual backend/PostgreSQL17, es-EC,320/1280px; final84-case evidence/public-runtime-final.json: zero axe violations, horizontal overflow, page errors or HTTP5xx. Other roles/states/languages/native remain untested unless separately evidenced."
registered-feature,/inicio,tdf-hq/assets/feature-registry.json,"{""auth"":""public"",""permissions"":{""discover"":{},""view"":{}},""scope"":""none"",""flag"":null,""mobile"":{""kind"":""external-web"",""destination"":""https://tdf-app.pages.dev/inicio"",""documentedException"":""The pinned native client does not yet include the directory landing route; use the public responsive web home.""}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,"Observed public arrival: Chromium production bundle, isolated actual backend/PostgreSQL17, es-EC,320/1280px; final84-case evidence/public-runtime-final.json: zero axe violations, horizontal overflow, page errors or HTTP5xx. Other roles/states/languages/native remain untested unless separately evidenced."
registered-feature,/buscar,tdf-hq/assets/feature-registry.json,"{""auth"":""public"",""permissions"":{""discover"":{},""view"":{}},""scope"":""public-published-current-moderated"",""flag"":null,""mobile"":{""kind"":""native"",""destination"":""/(tabs)/directory"",""documentedException"":null}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,"Observed public arrival: Chromium production bundle, isolated actual backend/PostgreSQL17, es-EC,320/1280px; final84-case evidence/public-runtime-final.json: zero axe violations, horizontal overflow, page errors or HTTP5xx. Other roles/states/languages/native remain untested unless separately evidenced."
registered-feature,/directorio/:slug,tdf-hq/assets/feature-registry.json,"{""auth"":""public"",""permissions"":{""discover"":{},""view"":{}},""scope"":""none"",""flag"":null,""mobile"":{""kind"":""native-contextual"",""destination"":""/directory/profile/[slug]"",""documentedException"":null}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,inventoried;runtime coverage pending unless evidence register names exact journey
registered-feature,/clasificados/:slug,tdf-hq/assets/feature-registry.json,"{""auth"":""public"",""permissions"":{""discover"":{},""view"":{}},""scope"":""none"",""flag"":null,""mobile"":{""kind"":""native-contextual"",""destination"":""/directory/classified/[slug]"",""documentedException"":null}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,inventoried;runtime coverage pending unless evidence register names exact journey
registered-feature,/eventos/:eventId,tdf-hq/assets/feature-registry.json,"{""auth"":""public"",""permissions"":{""discover"":{},""view"":{}},""scope"":""none"",""flag"":null,""mobile"":{""kind"":""native-contextual"",""destination"":""/directory/event/[id]"",""documentedException"":null}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,inventoried;runtime coverage pending unless evidence register names exact journey
registered-feature,/venues/:venueId,tdf-hq/assets/feature-registry.json,"{""auth"":""public"",""permissions"":{""discover"":{},""view"":{}},""scope"":""none"",""flag"":null,""mobile"":{""kind"":""native-contextual"",""destination"":""/directory/venue/[id]"",""documentedException"":null}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,inventoried;runtime coverage pending unless evidence register names exact journey
registered-feature,/mis-clasificados,tdf-hq/assets/feature-registry.json,"{""auth"":""authenticated"",""permissions"":{""discover"":{},""view"":{""recordScope"":""explicit-manager""},""create"":{""recordScope"":""authenticated-adult-or-guardian-approved""},""edit"":{""recordScope"":""explicit-manager""},""submit"":{""recordScope"":""authenticated-adult-or-guardian-approved""}},""scope"":""explicit-manager"",""flag"":null,""mobile"":{""kind"":""native"",""destination"":""/directory/manage"",""documentedException"":null}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,"inventoried;runtime coverage pending unless evidence register names exact journey; Operational initial arrival: actual isolated Admin+Customer and Customer sessions, Chromium production bundle320/1280, operational-*-after.json. Denials/redirects recorded per route. Integrated28 affected cases: operational-focused-final.json. Missing local calendar OAuth returns500. Other roles/states/engines/native untested. Manager arrival:198 isolated real-session/PostgreSQL17 cases,320/1280,dbf548172 bundle; zero axe/overflow/pageerror/5xx (evidence/manager-runtime-dbf.json). Other journey states remain separately pending. Additional initial arrival coverage: 19 role fixtures x320/1280 Chromium es-EC, actual isolated session/API; see evidence/remaining-role-arrivals.json. Denials included; actions/other states/native remain untested unless separately evidenced."
registered-feature,/admin/directorio,tdf-hq/assets/feature-registry.json,"{""auth"":""authenticated"",""permissions"":{""discover"":{},""view"":{},""administer"":{}},""scope"":""admin-audited-review"",""flag"":null,""mobile"":{""kind"":""web-only"",""destination"":null,""documentedException"":""Administrative evidence review uses the responsive web control surface and is intentionally excluded from the native client.""}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,"inventoried;runtime coverage pending unless evidence register names exact journey; Operational initial arrival: actual isolated Admin+Customer and Customer sessions, Chromium production bundle320/1280, operational-*-after.json. Denials/redirects recorded per route. Integrated28 affected cases: operational-focused-final.json. Missing local calendar OAuth returns500. Other roles/states/engines/native untested. Manager arrival:198 isolated real-session/PostgreSQL17 cases,320/1280,dbf548172 bundle; zero axe/overflow/pageerror/5xx (evidence/manager-runtime-dbf.json). Other journey states remain separately pending. Additional initial arrival coverage: 19 role fixtures x320/1280 Chromium es-EC, actual isolated session/API; see evidence/remaining-role-arrivals.json. Denials included; actions/other states/native remain untested unless separately evidenced."
registered-feature,/fans,tdf-hq/assets/feature-registry.json,"{""auth"":""optional"",""permissions"":{""discover"":{},""view"":{},""create"":{""recordScope"":""authenticated-member""},""edit"":{""recordScope"":""owner-or-club-moderator""},""delete"":{""recordScope"":""owner-or-club-moderator""}},""scope"":""none"",""flag"":null,""mobile"":{""kind"":""native"",""destination"":""/(tabs)/social"",""documentedException"":null}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,"Observed public arrival: Chromium production bundle, isolated actual backend/PostgreSQL17, es-EC,320/1280px; final84-case evidence/public-runtime-final.json: zero axe violations, horizontal overflow, page errors or HTTP5xx. Other roles/states/languages/native remain untested unless separately evidenced."
registered-feature,/fans/clubs/:artistId,tdf-hq/assets/feature-registry.json,"{""auth"":""optional"",""permissions"":{""discover"":{},""view"":{},""create"":{""recordScope"":""authenticated-member""},""edit"":{""recordScope"":""owner-or-club-moderator""},""delete"":{""recordScope"":""owner-or-club-moderator""}},""scope"":""none"",""flag"":null,""mobile"":{""kind"":""native-contextual"",""destination"":""/artistDetail"",""documentedException"":null}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,inventoried;runtime coverage pending unless evidence register names exact journey
registered-feature,/fans/clubs/:artistId/members/:partyId,tdf-hq/assets/feature-registry.json,"{""auth"":""authenticated"",""permissions"":{""discover"":{},""view"":{}},""scope"":""none"",""flag"":null,""mobile"":{""kind"":""web-only"",""destination"":null,""documentedException"":""No native equivalent yet.""}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,inventoried;runtime coverage pending unless evidence register names exact journey
registered-feature,/artista/:slugOrId,tdf-hq/assets/feature-registry.json,"{""auth"":""public"",""permissions"":{""discover"":{},""view"":{}},""scope"":""none"",""flag"":null,""mobile"":{""kind"":""native-contextual"",""destination"":""/artistDetail"",""documentedException"":null}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,inventoried;runtime coverage pending unless evidence register names exact journey
registered-feature,/artista/crear,tdf-hq/assets/feature-registry.json,"{""auth"":""optional"",""permissions"":{""discover"":{},""view"":{},""create"":{""rolesAny"":[""Admin"",""Artist"",""Artista""]}},""scope"":""none"",""flag"":null,""mobile"":{""kind"":""native"",""destination"":""/createArtistProfile"",""documentedException"":null}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,"Observed public arrival: Chromium production bundle, isolated actual backend/PostgreSQL17, es-EC,320/1280px; final84-case evidence/public-runtime-final.json: zero axe violations, horizontal overflow, page errors or HTTP5xx. Other roles/states/languages/native remain untested unless separately evidenced."
registered-feature,/marketplace,tdf-hq/assets/feature-registry.json,"{""auth"":""optional"",""permissions"":{""discover"":{},""view"":{},""create"":{""recordScope"":""cart-or-customer""},""edit"":{""recordScope"":""order-owner-or-fulfillment-staff""},""delete"":{""recordScope"":""cart-owner-or-admin""}},""scope"":""none"",""flag"":null,""mobile"":{""kind"":""external-web"",""destination"":""https://tdf-app.pages.dev/marketplace"",""documentedException"":""Native commerce catalog is not implemented; secure checkout remains web based.""}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,"Observed public arrival: Chromium production bundle, isolated actual backend/PostgreSQL17, es-EC,320/1280px; final84-case evidence/public-runtime-final.json: zero axe violations, horizontal overflow, page errors or HTTP5xx. Other roles/states/languages/native remain untested unless separately evidenced."
registered-feature,/marketplace/orden/:orderId,tdf-hq/assets/feature-registry.json,"{""auth"":""public"",""permissions"":{""discover"":{},""view"":{}},""scope"":""none"",""flag"":null,""mobile"":{""kind"":""external-web"",""destination"":null,""documentedException"":""Order links are opened contextually from confirmations.""}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,inventoried;runtime coverage pending unless evidence register names exact journey
registered-feature,/tiendas,tdf-hq/assets/feature-registry.json,"{""auth"":""public"",""permissions"":{""discover"":{},""view"":{}},""scope"":""none"",""flag"":""merch.storefronts"",""mobile"":{""kind"":""native"",""destination"":""/merch"",""documentedException"":null}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,"Observed public arrival: Chromium production bundle, isolated actual backend/PostgreSQL17, es-EC,320/1280px; final84-case evidence/public-runtime-final.json: zero axe violations, horizontal overflow, page errors or HTTP5xx. Other roles/states/languages/native remain untested unless separately evidenced."
registered-feature,/tienda/:storeSlug/producto/:productSlug,tdf-hq/assets/feature-registry.json,"{""auth"":""public"",""permissions"":{""view"":{}},""scope"":""none"",""flag"":""merch.public_catalog"",""mobile"":{""kind"":""native-contextual"",""destination"":""/merch"",""documentedException"":null}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,inventoried;runtime coverage pending unless evidence register names exact journey
registered-feature,/tienda/:storeSlug/carrito,tdf-hq/assets/feature-registry.json,"{""auth"":""public"",""permissions"":{""view"":{""recordScope"":""unguessable-cart-capability""},""create"":{""recordScope"":""single-seller-cart""},""edit"":{""recordScope"":""unguessable-cart-capability""},""delete"":{""recordScope"":""unguessable-cart-capability""}},""scope"":""none"",""flag"":""merch.checkout"",""mobile"":{""kind"":""native-contextual"",""destination"":""/merch"",""documentedException"":null}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,inventoried;runtime coverage pending unless evidence register names exact journey
registered-feature,/tienda/orden/:orderId,tdf-hq/assets/feature-registry.json,"{""auth"":""public"",""permissions"":{""view"":{""recordScope"":""unguessable-order-capability""},""create"":{""recordScope"":""order-issue-capability""}},""scope"":""none"",""flag"":null,""mobile"":{""kind"":""native-contextual"",""destination"":""/merch"",""documentedException"":null}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,inventoried;runtime coverage pending unless evidence register names exact journey
